CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
41098999,MCDONALD'S,Bronx,1212,EAST GUNHILL ROAD,10469
50112478,CAFE 346,Manhattan,346,MADISON AVENUE,10017
50115909,USHG,Manhattan,1,VANDERBILT AVE,10017
50089939,HERALD SQUARE CAFE,Manhattan,151,WEST   34 STREET,10001
50047966,BAGEL BELLY,Manhattan,114,3 AVENUE,10003
50095914,MAMA'S NOODLE HOUSE,Brooklyn,1782,BAY RIDGE AVENUE,11204
50124501,Y.N.L.C. CAFE CORP,Queens,3527,30TH AVE,11103
50073713,KARAOKE BOHO,Manhattan,152,ORCHARD STREET,10002
50122868,DOMINO'S PIZZA #3680,Manhattan,4797,BROADWAY,10034
50114230,DOYLE'S CAFE (GOOGLE),Manhattan,345,HUDSON STREET,10014
50000781,CAFE CON AMOR,Queens,6416,ROOSEVELT AVE.,11377
50067678,RABBIT CLUB,Manhattan,124,MACDOUGAL STREET,10012
50104273,LA QUINTA MANHATTAN MIDTOWN,Manhattan,333,WEST   38 STREET,10018
50037464,SARKU JAPAN,Brooklyn,11114,FLATLANDS AVENUE,11207
50125428,,Manhattan,80,NASSAU STREET,10038
50086939,EL VALLE RESTAURANT,Bronx,69,FEATHERBED LANE,10452
50107031,THE BAY CAFE,Brooklyn,2,NEPTUNE AVENUE,11235
50099907,AMA RAW BAR,Manhattan,190,AVENUE B,10009
50109529,RESORT WORLD CASINO- REGENCY CLUB,Queens,11000,ROCKAWAY BLVD,11420
41005529,ELSA LA REYNA DEL CHICHARRON,Manhattan,1249,ST NICHOLAS AVENUE,10032
50105377,LE PAIN QUOTIDIEN,Manhattan,1131,MADISON AVENUE,10028
50111723,LE PAIN QUOTIDIEN,Manhattan,685,3 AVENUE,10017
50004788,51ST BAKERY AND CAFE,Queens,5-33,51 AVENUE,11101
40727750,UTSAV FESTIVE INDIA RESTAURANT,Manhattan,1185,AVENUE OF AMERICAS,10036
41708028,"TACO BELL, PIZZA HUT",Brooklyn,785,FLUSHING AVENUE,11206
50113843,RAKU JAPAN,Queens,8312,37TH AVE,11372
41236269,"TROYKA, DA MIKELLE PALACE/MIKELLE CORNER",Queens,10255,QUEENS BOULEVARD,11375
50089981,BOOMERANG TWO,Queens,4031,162ND ST,11358
50105056,DRIFT IN,Manhattan,389,WEST STREET,10014
50102966,KIDS TOWN PLAY SPACE,Brooklyn,278A,6 STREET,11215
40818118,STARBUCKS,Brooklyn,9202,3 AVENUE,11209
50066894,EL TAQUITOS,Bronx,2511,3 AVENUE,10451
50106407,,Queens,12615,LIBERTY AVE,11419
41530258,OSTERIA AL DODGE,Manhattan,142,WEST   44 STREET,10036
50118251,YIFANG TAIWAN FRUIT TEA,Brooklyn,774,58 STREET,11220
